tempo,y_centro,v_centro,erro_l2
9.199999999999999845e-02,9.585251765890650741e-03,-8.953418094393044910e-03,2.383487123239582392e-08
9.600000000000000200e-02,9.548682287071244557e-03,-9.331080720607910425e-03,2.592025549837398812e-08
1.000000000000000056e-01,9.510605084637286863e-03,-9.707269982192012758e-03,2.808880007812721550e-08
1.040000000000000091e-01,9.471026170925931839e-03,-1.008192647938566805e-02,3.033981459323927037e-08
1.079999999999999988e-01,9.429951795392450473e-03,-1.045499105445065954e-02,3.267258191967567031e-08
1.120000000000000023e-01,9.387388443623446987e-03,-1.082640480101105217e-02,3.508635836134163706e-08
1.160000000000000059e-01,9.343342836312796065e-03,-1.119610907335423164e-02,3.758037382018585365e-08
1.199999999999999956e-01,9.297821928200458719e-03,-1.156404549569100410e-02,4.015383198508096003e-08
1.239999999999999991e-01,9.250832906974332942e-03,-1.193015597137347429e-02,4.280591051966879909e-08
1.280000000000000027e-01,9.202383192135329959e-03,-1.229438269206815232e-02,4.553576125533276632e-08
1.320000000000000062e-01,9.152480433825846071e-03,-1.265666814688381527e-02,4.834251039697081259e-08
1.360000000000000098e-01,9.101132511621815718e-03,-1.301695513145265451e-02,5.122525872683122959e-08
1.400000000000000133e-01,9.048347533288531377e-03,-1.337518675696256973e-02,5.418308182186868915e-08
1.440000000000000169e-01,8.994133833500448857e-03,-1.373130645913948553e-02,5.721503027091511987e-08
1.479999999999999927e-01,8.938499972525144541e-03,-1.408525800717917893e-02,6.032012990522072747e-08
1.519999999999999962e-01,8.881454734871669157e-03,-1.443698551262585957e-02,6.349738202350706887e-08
1.559999999999999998e-01,8.823007127903480240e-03,-1.478643343819686408e-02,6.674576363809007075e-08
1.600000000000000033e-01,8.763166380416194390e-03,-1.513354660655226967e-02,7.006422771112197211e-08
1.640000000000000069e-01,8.701941941180374451e-03,-1.547827020900664416e-02,7.345170340959049378e-08
1.680000000000000104e-01,8.639343477449578854e-03,-1.582054981418403936e-02,7.690709635929017977e-08
1.720000000000000140e-01,8.575380873433921178e-03,-1.616033137661216854e-02,8.042928890390603242e-08
1.759999999999999898e-01,8.510064228739358527e-03,-1.649756124525651735e-02,8.401714037365449828e-08
1.799999999999999933e-01,8.443403856772984523e-03,-1.683218617199126049e-02,8.766948736152698492e-08
1.839999999999999969e-01,8.375410283114552434e-03,-1.716415332000727906e-02,9.138514399114004891e-08
1.880000000000000004e-01,8.306094243854506010e-03,-1.749341027215490021e-02,9.516290221105214724e-08
1.920000000000000040e-01,8.235466683898760853e-03,-1.781990503922044680e-02,9.900153207676140635e-08
1.960000000000000075e-01,8.163538755240522596e-03,-1.814358606813552127e-02,1.028997820476178811e-07
2.000000000000000111e-01,8.090321815199402050e-03,-1.846440225011699784e-02,1.068563792851430662e-07
2.040000000000000147e-01,8.015827424628108391e-03,-1.878230292873738633e-02,1.108700299596397825e-07
2.080000000000000182e-01,7.940067346087006581e-03,-1.909723790792305920e-02,1.149394195596520645e-07
2.119999999999999940e-01,7.863053541986830472e-03,-1.940915745987992214e-02,1.190632132024310183e-07
2.159999999999999976e-01,7.784798172699825686e-03,-1.971801233294604230e-02,1.232400559629596745e-07
2.200000000000000011e-01,7.705313594639650980e-03,-2.002375375936762958e-02,1.274685731911993982e-07
2.240000000000000047e-01,7.624612358310317410e-03,-2.032633346300002225e-02,1.317473708453894789e-07
2.280000000000000082e-01,7.542707206324477526e-03,-2.062570366693000298e-02,1.360750358270817748e-07
2.320000000000000118e-01,7.459611071391388133e-03,-2.092181710101993428e-02,1.404501363183870131e-07
2.360000000000000153e-01,7.375337074274851065e-03,-2.121462700937147214e-02,1.448712221292893475e-07
2.399999999999999911e-01,7.289898521721466761e-03,-2.150408715770837226e-02,1.493368250457491854e-07
2.439999999999999947e-01,7.203308904359512904e-03,-2.179015184067707722e-02,1.538454591810088857e-07
2.479999999999999982e-01,7.115581894568795071e-03,-2.207277588906321822e-02,1.583956213361050154e-07
2.520000000000000018e-01,7.026731344321797239e-03,-2.235191467692362183e-02,1.629857913602779573e-07
2.560000000000000053e-01,6.936771282996474774e-03,-2.262752412863304474e-02,1.676144325190782675e-07
2.600000000000000089e-01,6.845715915161034240e-03,-2.289956072584358251e-02,1.722799918642853923e-07
2.640000000000000124e-01,6.753579618331051297e-03,-2.316798151435605843e-02,1.769809006093101823e-07
2.680000000000000160e-01,6.660376940699283196e-03,-2.343274411090234821e-02,1.817155745080890612e-07
2.720000000000000195e-01,6.566122598838528002e-03,-2.369380670983778706e-02,1.864824142386079982e-07
2.760000000000000231e-01,6.470831475377898309e-03,-2.395112808974207003e-02,1.912798057894499901e-07
2.800000000000000266e-01,6.374518616652876356e-03,-2.420466761992816698e-02,1.961061208522076380e-07
2.840000000000000302e-01,6.277199230329516544e-03,-2.445438526685786429e-02,2.009597172121649185e-07
2.880000000000000338e-01,6.178888683003178756e-03,-2.470024160046286471e-02,2.058389391504987873e-07
2.919999999999999818e-01,6.079602497772161954e-03,-2.494219780037117140e-02,2.107421178435006309e-07
2.959999999999999853e-01,5.979356351786628380e-03,-2.518021566203645228e-02,2.156675717741983326e-07
2.999999999999999889e-01,5.878166073773205200e-03,-2.541425760277038481e-02,2.206136071309275468e-07
3.039999999999999925e-01,5.776047641535648688e-03,-2.564428666767708254e-02,2.255785182256441605e-07
3.079999999999999960e-01,5.673017179431972569e-03,-2.587026653548783750e-02,2.305605879102790244e-07
3.119999999999999996e-01,5.569090955828435996e-03,-2.609216152429662608e-02,2.355580879916028055e-07
3.160000000000000031e-01,5.464285380530789320e-03,-2.630993659719401898e-02,2.405692796558042691e-07
3.200000000000000067e-01,5.358617002193189621e-03,-2.652355736779964460e-02,2.455924138911997688e-07
3.240000000000000102e-01,5.252102505705191077e-03,-2.673299010569193945e-02,2.506257319142968798e-07
3.280000000000000138e-01,5.144758709557222150e-03,-2.693820174173391924e-02,2.556674656057428819e-07
3.320000000000000173e-01,5.036602563184969412e-03,-2.713915987329480403e-02,2.607158379351290931e-07
3.360000000000000209e-01,4.927651144293087801e-03,-2.733583276936590173e-02,2.657690634052774382e-07
3.400000000000000244e-01,4.817921656158651901e-03,-2.752818937557134638e-02,2.708253484817624923e-07
3.440000000000000280e-01,4.707431424914785417e-03,-2.771619931907101653e-02,2.758828920371524150e-07
3.480000000000000315e-01,4.596197896814889494e-03,-2.789983291335679239e-02,2.809398857973948374e-07
3.519999999999999796e-01,4.484238635477902704e-03,-2.807906116294003884e-02,2.859945147776343185e-07
3.559999999999999831e-01,4.371571319115030718e-03,-2.825385576793005074e-02,2.910449577436173971e-07
3.599999999999999867e-01,4.258213737738380210e-03,-2.842418912850264504e-02,2.960893876434003500e-07
3.639999999999999902e-01,4.144183790351938478e-03,-2.859003434925821985e-02,3.011259720696342050e-07
3.679999999999999938e-01,4.029499482125347212e-03,-2.875136524346794467e-02,3.061528737131979476e-07
3.719999999999999973e-01,3.914178921550911898e-03,-2.890815633720884154e-02,3.111682508096960570e-07
3.760000000000000009e-01,3.798240317584294402e-03,-2.906038287338579690e-02,3.161702576056503526e-07
3.800000000000000044e-01,3.681701976769348461e-03,-2.920802081564073671e-02,3.211570448058159229e-07
3.840000000000000080e-01,3.564582300347540842e-03,-2.935104685214823261e-02,3.261267600442505585e-07
3.880000000000000115e-01,3.446899781352420061e-03,-2.948943839929642902e-02,3.310775483342409711e-07
