tempo,y_centro,v_centro,erro_l2
0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00,1.218569110023239319e-19
4.000000000000000083e-03,9.998421242457236971e-03,-3.946893856914786888e-04,5.552788874424605433e-07
8.000000000000000167e-03,9.995264225866776903e-03,-7.892541476136236654e-04,1.110042603834293597e-06
1.200000000000000025e-02,9.990529697813839427e-03,-1.183632013232463519e-03,1.664028310578054527e-06
1.600000000000000033e-02,9.984218654816431546e-03,-1.577760749351055482e-03,2.216973414749852886e-06
2.000000000000000042e-02,9.976332342128722136e-03,-1.971578171930121488e-03,2.768615638201985837e-06
2.400000000000000050e-02,9.966872253505147314e-03,-2.365022155896373112e-03,3.318693086568680343e-06
2.800000000000000058e-02,9.955840130925378700e-03,-2.758030644939473645e-03,3.866944318197006545e-06
3.200000000000000067e-02,9.943237964280196226e-03,-3.150541661303540332e-03,4.413108412939789579e-06
3.600000000000000422e-02,9.929067991017993117e-03,-3.542493315554396706e-03,4.956925040879806470e-06
4.000000000000000083e-02,9.913332695752652066e-03,-3.933823816337530914e-03,5.498134530851334638e-06
4.399999999999999745e-02,9.896034809832162868e-03,-4.324471480119118812e-03,6.036477938859308093e-06
4.800000000000000100e-02,9.877177310868519300e-03,-4.714374740908266505e-03,6.571697116292116495e-06
5.200000000000000455e-02,9.856763422228694005e-03,-5.103472159957443514e-03,7.103534777970722726e-06
5.600000000000000117e-02,9.834796612486939454e-03,-5.491702435442158241e-03,7.631734570004907671e-06
5.999999999999999778e-02,9.811280594838460087e-03,-5.879004412114622116e-03,8.156041137415745757e-06
6.400000000000000133e-02,9.786219326474729710e-03,-6.265317090945811927e-03,8.676200191523016157e-06
6.800000000000000488e-02,9.759617007919862627e-03,-6.650579638707099575e-03,9.191958577145376499e-06
7.200000000000000844e-02,9.731478082329570248e-03,-7.034731397571184972e-03,9.703064339450745860e-06
7.599999999999999811e-02,9.701807234750900802e-03,-7.417711894660094715e-03,1.020926679063903452e-05
8.000000000000000167e-02,9.670609391344706790e-03,-7.799460851555330837e-03,1.071031657620449637e-05
8.400000000000000522e-02,9.637889718569601569e-03,-8.179918193784387406e-03,1.120596574105151747e-05
8.799999999999999489e-02,9.603653622328532646e-03,-8.559024060269542974e-03,1.169596779515483474e-05
9.199999999999999845e-02,9.567906747077555354e-03,-8.936718812752113619e-03,1.218007777897018151e-05
9.600000000000000200e-02,9.530654974896916182e-03,-9.312943045168380063e-03,1.265805232845629226e-05
1.000000000000000056e-01,9.491904424524999148e-03,-9.687637592993373833e-03,1.312964973977895834e-05
1.040000000000000091e-01,9.451661450354831642e-03,-1.006074354253185324e-02,1.359463003358252259e-05
1.079999999999999988e-01,9.409932641393991062e-03,-1.043220224021094121e-02,1.405275501892639786e-05
1.120000000000000023e-01,9.366724820186926939e-03,-1.080195530177422564e-02,1.450378835677924962e-05
1.160000000000000059e-01,9.322045041701048154e-03,-1.116994462145529284e-02,1.494749562311587616e-05
1.199999999999999956e-01,9.275900592176578724e-03,-1.153611238110967968e-02,1.538364437155162904e-05
1.239999999999999991e-01,9.228298987939356421e-03,-1.190040105931425458e-02,1.581200419558346642e-05
1.280000000000000027e-01,9.179247974177838845e-03,-1.226275344037355310e-02,1.623234679035487558e-05
1.320000000000000062e-01,9.128755523684488685e-03,-1.262311262332969572e-02,1.664444601390208944e-05
1.360000000000000098e-01,9.076829835560913662e-03,-1.298142203087528090e-02,1.704807794794213445e-05
1.400000000000000133e-01,9.023479333887850576e-03,-1.333762541825673879e-02,1.744302095819817152e-05
1.440000000000000169e-01,8.968712666359585778e-03,-1.369166688209444600e-02,1.782905575414590006e-05
1.479999999999999927e-01,8.912538702883056677e-03,-1.404349086913345666e-02,1.820596544828529835e-05
1.519999999999999962e-01,8.854966534143107054e-03,-1.439304218498048231e-02,1.857353561484403862e-05
1.559999999999999998e-01,8.796005470132036569e-03,-1.474026600275664053e-02,1.893155434791340372e-05
1.600000000000000033e-01,8.735665038645284985e-03,-1.508510787170292550e-02,1.927981231903544489e-05
1.640000000000000069e-01,8.673954983742463570e-03,-1.542751372568689633e-02,1.961810283426813353e-05
1.680000000000000104e-01,8.610885264175641846e-03,-1.576742989171911816e-02,1.994622189052568657e-05
1.720000000000000140e-01,8.546466051782259862e-03,-1.610480309834712298e-02,2.026396823148786380e-05
1.759999999999999898e-01,8.480707729846312382e-03,-1.643958048399289662e-02,2.057114340265065849e-05
1.799999999999999933e-01,8.413620891425355533e-03,-1.677170960523918439e-02,2.086755180602972471e-05
1.839999999999999969e-01,8.345216337645202515e-03,-1.710113844504619965e-02,2.115300075397583303e-05
1.880000000000000004e-01,8.275505075961775772e-03,-1.742781542089777772e-02,2.142730052256214761e-05
1.920000000000000040e-01,8.204498318390273520e-03,-1.775168939285947517e-02,2.169026440407801568e-05
1.960000000000000075e-01,8.132207479703714922e-03,-1.807270967161884317e-02,2.194170875894706937e-05
2.000000000000000111e-01,8.058644175598169909e-03,-1.839082602639076705e-02,2.218145306706065798e-05
2.040000000000000147e-01,7.983820220827107447e-03,-1.870598869278847567e-02,2.240931997821969340e-05
2.080000000000000182e-01,7.907747627304896956e-03,-1.901814838056865506e-02,2.262513536202243427e-05
