tempo,y_centro,v_centro,erro_l2
2.479999999999999982e-01,7.150784224875602821e-03,-2.218015585168268272e-02,2.492666998272344267e-05
2.520000000000000018e-01,7.062063601468872472e-03,-2.246243401734852527e-02,2.502267695872145925e-05
2.560000000000000053e-01,6.972213865399478315e-03,-2.274120978909297333e-02,2.510493004014502103e-05
2.600000000000000089e-01,6.881249026243106519e-03,-2.301643875848389739e-02,2.517329010573096998e-05
2.640000000000000124e-01,6.789183271209171290e-03,-2.328807715207710516e-02,2.522762177590925724e-05
2.680000000000000160e-01,6.696030962600863119e-03,-2.355608173647317366e-02,2.526779345409737481e-05
2.720000000000000195e-01,6.601806635654970494e-03,-2.382040967242573734e-02,2.529367736715491675e-05
2.760000000000000231e-01,6.506524996965267794e-03,-2.408101838169647915e-02,2.530514960498422955e-05
2.800000000000000266e-01,6.410200923438481510e-03,-2.433786552192736957e-02,2.530209015926917940e-05
2.840000000000000302e-01,6.312849461350772406e-03,-2.459090915653041470e-02,2.528438296133980170e-05
2.880000000000000338e-01,6.214485824724651046e-03,-2.484010813887220850e-02,2.525191591917611789e-05
2.919999999999999818e-01,6.115125392169162497e-03,-2.508542260818921732e-02,2.520458095352085315e-05
2.959999999999999853e-01,6.014783701736405204e-03,-2.532681436121822505e-02,2.514227403308155992e-05
2.999999999999999889e-01,5.913476444291532359e-03,-2.556424679461559782e-02,2.506489520878506054e-05
3.039999999999999925e-01,5.811219457113069899e-03,-2.579768419206169422e-02,2.497234864717825357e-05
3.079999999999999960e-01,5.708028720344823261e-03,-2.602709039895597515e-02,2.486454266300696937e-05
3.119999999999999996e-01,5.603920358748999339e-03,-2.625242733672274523e-02,2.474138975082111741e-05
3.160000000000000031e-01,5.498910649402108559e-03,-2.647365418909356297e-02,2.460280661534090886e-05
3.200000000000000067e-01,5.393016032645734682e-03,-2.669072818857307419e-02,2.444871420075754229e-05
3.240000000000000102e-01,5.286253119891442566e-03,-2.690360750612705992e-02,2.427903771983814344e-05
3.280000000000000138e-01,5.178638689866934576e-03,-2.711225574372974623e-02,2.409370668295443134e-05
3.320000000000000173e-01,5.070189666892015688e-03,-2.731664621704675208e-02,2.389265492473892309e-05
3.360000000000000209e-01,4.960923082023828597e-03,-2.751676322407234712e-02,2.367582062639920709e-05
3.400000000000000244e-01,4.850856029127539534e-03,-2.771259764474927681e-02,2.344314633836473431e-05
3.440000000000000280e-01,4.740005638548542427e-03,-2.790413612033460986e-02,2.319457901222422266e-05
3.480000000000000315e-01,4.628389094067203793e-03,-2.809134661490571283e-02,2.293007003571281369e-05
3.519999999999999796e-01,4.516023707607581122e-03,-2.827416716135069952e-02,2.264957524175669712e-05
3.559999999999999831e-01,4.402927038962178158e-03,-2.845250681051345043e-02,2.235305488726953166e-05
3.599999999999999867e-01,4.289117011720124280e-03,-2.862626574005394664e-02,2.204047367804795281e-05
3.639999999999999902e-01,4.174611948759908257e-03,-2.879537378004436501e-02,2.171180090879777430e-05
3.679999999999999938e-01,4.059430453639730971e-03,-2.895983460974456761e-02,2.136701055977852621e-05
3.719999999999999973e-01,3.943591115200752346e-03,-2.911975143617456102e-02,2.100608104254128792e-05
3.760000000000000009e-01,3.827112109456054165e-03,-2.927530660622863420e-02,2.062899480433607173e-05
3.800000000000000044e-01,3.710010883031139659e-03,-2.942667944865319865e-02,2.023573880149709368e-05
3.840000000000000080e-01,3.592304165236526875e-03,-2.957391567754103293e-02,1.982630602147635772e-05
3.880000000000000115e-01,3.474008502526362754e-03,-2.971680033888741967e-02,1.940069538564952192e-05
3.920000000000000151e-01,3.355141301170812967e-03,-2.985481623229451972e-02,1.895890753592003764e-05
3.960000000000000187e-01,3.235722036241635031e-03,-2.998726678558301384e-02,1.850094209467435574e-05
4.000000000000000222e-01,3.115772969099303135e-03,-3.011358796284661909e-02,1.802680765243648640e-05
4.040000000000000258e-01,2.995318617247916693e-03,-3.023377024792381004e-02,1.753653737149162372e-05
4.080000000000000293e-01,2.874383536256221606e-03,-3.034869369147508503e-02,1.703017318475740600e-05
4.120000000000000329e-01,2.752988761490321370e-03,-3.046011167192784128e-02,1.650771060802119010e-05
4.160000000000000364e-01,2.631148314802610015e-03,-3.057007618898150911e-02,1.596910332557682289e-05
4.199999999999999845e-01,2.508868010046684006e-03,-3.067982041047175382e-02,1.541442700826418184e-05
4.239999999999999880e-01,2.386148728404796811e-03,-3.078846533249980297e-02,1.484399674836971225e-05
4.279999999999999916e-01,2.262994867074797755e-03,-3.089225530868215663e-02,1.425799471327211473e-05
4.319999999999999951e-01,2.139425845840069347e-03,-3.098513093389774001e-02,1.365585747471843946e-05
4.359999999999999987e-01,2.015485322104478526e-03,-3.106110679092036544e-02,1.303690787836910525e-05
4.400000000000000022e-01,1.891240894940797012e-03,-3.111807480923277011e-02,1.240268794400507051e-05
4.440000000000000058e-01,1.766768595703865951e-03,-3.116152112193178864e-02,1.175702237936108106e-05
4.480000000000000093e-01,1.642122511216138848e-03,-3.120576165804108890e-02,1.109929974370661796e-05
